Velocidade,Retenção (%),RMSE Média,RMSE Mediana,RMSE Desvio Padrão,RMSE Max (Outlier)
30 km/h,20,5.22,5.11,1.41,9.09
30 km/h,30,3.95,3.55,1.49,8.48
30 km/h,40,2.42,2.25,1.13,6.83
30 km/h,50,1.18,1.09,0.57,3.3
30 km/h,60,0.82,0.7,0.47,2.07
30 km/h,70,0.75,0.63,0.47,2.05
30 km/h,80,0.73,0.61,0.47,2.05
30 km/h,90,0.71,0.57,0.48,2.03
60 km/h,20,4.84,3.45,3.35,15.5
60 km/h,30,2.68,2.26,1.26,7.63
60 km/h,40,1.51,1.43,0.51,3.46
60 km/h,50,1.49,1.4,0.49,2.73
60 km/h,60,1.42,1.35,0.52,2.73
60 km/h,70,1.38,1.3,0.53,2.71
60 km/h,80,1.36,1.27,0.53,2.72
60 km/h,90,1.33,1.26,0.54,2.69
